"Geschäft";"Geschäfts ID";"Datum und Uhrzeit";"Belegnummer";"Grund";"Buchungstext";"Währung";"Einnahmen";"Ausgaben";"Mehrwertsteuersatz";"Betrag MwSt";"Kassenbestand"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20 18:26:26";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3872";"Sonstige Einnahme";"";"EUR";"10,00";"";"0,00";"0,00";"285,72"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20 18:26:26";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3873";"Wechselgeld";"";"EUR";"";"-2,40";"0,00";"0,00";"283,32"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20 18:29:17";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3874";"Trinkgeldauszahlung";"";"EUR";"";"-21,25";"0,00";"0,00";"262,07"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-20 18:35:46";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3875";"Transfer von Kasse zur Bank";"";"EUR";"";"-112,07";"0,00";"0,00";"150,00"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 11:25:15";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3876";"Sonstige Einnahme";"";"EUR";"10,90";"";"0,00";"0,00";"160,90"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 11:25:35";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3877";"Sonstige Einnahme";"";"EUR";"4,90";"";"0,00";"0,00";"165,80"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 11:33:38";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3878";"Sonstige Einnahme";"";"EUR";"12,51";"";"0,00";"0,00";"178,31"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 11:59:00";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3879";"Sonstige Einnahme";"";"EUR";"7,80";"";"0,00";"0,00";"186,11"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 12:54:54";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3880";"Sonstige Einnahme";"";"EUR";"4,00";"";"0,00";"0,00";"190,11"
"Suedseite - Coffee Roasters & Bakery";"56297";"2025-03-21 13:16:44";"56297-28245446-D325-4F3D-9C53-5A3EDDFEA119-3881";"Sonstige Einnahme";"";"EUR";"12,60";"";"0,00";"0,00";"202,71"
