"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Trinkgeld-Betrag"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,76"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"0,80"
"Suedseite - Bakery and Roastery";"55978";"2025-06-12";"EUR";"SUMUP";"1,34"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"0,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"5,34"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,85"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"3,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-13";"EUR";"SUMUP";"1,83"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,37"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"2,48"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"2,57"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,10"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,32"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,95"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"2,52"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,26"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,94"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,04"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,70"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,68"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,53"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"2,02"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,31"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,18"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-14";"EUR";"SUMUP";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,34"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"3,42"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,19"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,82"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"3,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"6,06"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,20"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,25"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,72"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,13"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,40"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"2,64"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,35"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,79"
"Suedseite - Bakery and Roastery";"55978";"2025-06-15";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,50"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,18"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"2,62"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"2,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"2,15"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,30"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-17";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"1,87"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"1,53"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-18";"EUR";"SUMUP";"1,16"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,07"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,22"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,41"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,11"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,49"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,60"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"2,76"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,93"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,24"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
"Suedseite - Bakery and Roastery";"55978";"2025-06-19";"EUR";"SUMUP";"1,00"
