"Geschäft";"Geschäfts ID";"Datum";"Währung";"Zahlungsart";"Betrag";"Rückerstatteter Betrag";"Nettosumme"
"Suedseite - Bakery and Roastery";"55978";"2025-02-20";"EUR";"SUMUP";"518,10";"0,00";"518,10"
"Suedseite - Bakery and Roastery";"55978";"2025-02-21";"EUR";"CASH";"422,50";"0,00";"422,50"
"Suedseite - Bakery and Roastery";"55978";"2025-02-21";"EUR";"SUMUP";"805,75";"0,00";"805,75"
"Suedseite - Bakery and Roastery";"55978";"2025-02-22";"EUR";"CASH";"398,38";"0,00";"398,38"
"Suedseite - Bakery and Roastery";"55978";"2025-02-22";"EUR";"SUMUP";"671,73";"0,00";"671,73"
"Suedseite - Bakery and Roastery";"55978";"2025-02-23";"EUR";"CASH";"889,00";"-6,60";"882,40"
"Suedseite - Bakery and Roastery";"55978";"2025-02-23";"EUR";"SUMUP";"1267,83";"0,00";"1267,83"
"Suedseite - Bakery and Roastery";"55978";"2025-02-25";"EUR";"CASH";"323,30";"0,00";"323,30"
"Suedseite - Bakery and Roastery";"55978";"2025-02-25";"EUR";"CREDIT_NOTE";"10,20";"0,00";"10,20"
"Suedseite - Bakery and Roastery";"55978";"2025-02-25";"EUR";"SUMUP";"635,73";"0,00";"635,73"
"Suedseite - Bakery and Roastery";"55978";"2025-02-26";"EUR";"CASH";"308,82";"0,00";"308,82"
"Suedseite - Bakery and Roastery";"55978";"2025-02-26";"EUR";"SUMUP";"300,34";"0,00";"300,34"
"Suedseite - Bakery and Roastery";"55978";"2025-02-27";"EUR";"CASH";"396,90";"0,00";"396,90"
"Suedseite - Bakery and Roastery";"55978";"2025-02-27";"EUR";"SUMUP";"307,77";"0,00";"307,77"
"Suedseite - Bakery and Roastery";"55978";"2025-02-28";"EUR";"CASH";"327,80";"0,00";"327,80"
"Suedseite - Bakery and Roastery";"55978";"2025-02-28";"EUR";"SUMUP";"391,77";"0,00";"391,77"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"CASH";"440,52";"-8,20";"432,32"
"Suedseite - Bakery and Roastery";"55978";"2025-03-01";"EUR";"SUMUP";"1032,35";"0,00";"1032,35"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"CASH";"460,58";"-24,80";"435,78"
"Suedseite - Bakery and Roastery";"55978";"2025-03-02";"EUR";"SUMUP";"1000,86";"0,00";"1000,86"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CASH";"1,20";"-1,20";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-03";"EUR";"CREDIT_NOTE";"0,20";"-0,20";"0,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"CARD";"17,00";"-15,00";"2,00"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"CASH";"507,80";"0,00";"507,80"
"Suedseite - Bakery and Roastery";"55978";"2025-03-04";"EUR";"SUMUP";"373,61";"-1,00";"372,61"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"CARD";"22,00";"-19,90";"2,10"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"CASH";"547,90";"0,00";"547,90"
"Suedseite - Bakery and Roastery";"55978";"2025-03-05";"EUR";"SUMUP";"586,34";"0,00";"586,34"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"CASH";"202,60";"-6,50";"196,10"
"Suedseite - Bakery and Roastery";"55978";"2025-03-06";"EUR";"SUMUP";"401,37";"0,00";"401,37"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"CASH";"373,50";"0,00";"373,50"
"Suedseite - Bakery and Roastery";"55978";"2025-03-07";"EUR";"SUMUP";"481,32";"0,00";"481,32"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"CASH";"442,60";"0,00";"442,60"
"Suedseite - Bakery and Roastery";"55978";"2025-03-08";"EUR";"SUMUP";"1191,79";"0,00";"1191,79"
